"","w","ses"
"1",0.1,1459.64469255637
"2",0.2,1010.03396147245
"3",0.3,768.279992410308
"4",0.4,630.729514475135
"5",0.5,547.181483975014
"6",0.6,494.617442566588
"7",0.7,461.953944345227
"8",0.8,443.74621287913
"9",0.81,442.60906014631
"10",0.82,441.58975954989
"11",0.83,440.687488529154
"12",0.84,439.901463634661
"13",0.85,439.231125614312
"14",0.86,438.676096206106
"15",0.87,438.236179521422
"16",0.88,437.911361318042
"17",0.89,437.701810834625
"18",0.9,437.607848649159
"19",0.91,437.630014391281
"20",0.92,437.769000583962
"21",0.93,438.0256849609
"22",0.94,438.401126672893
"23",0.95,438.896551478288
"24",0.96,439.513396917177
"25",0.97,440.253279224736
"26",0.98,441.117967396549
"27",0.99,442.109482400898
